sgRNA_ID,Indel_Rate,Mean_Scaffold_RMSD,Max_Scaffold_RMSD,Ensemble_RMSD_Fluctuation,True_OffTarget_Matches,High_Risk_Sites_Count,Max_True_OffTarget_Score,Cumulative_OffTarget_Risk
sgRNA_81,47.46587165,26.94486904369677,38.45229505709987,7.698778201031635,51,10,0.7529411770268476,0.9998661091751156
sgRNA_40,72.13553295,32.871548676592894,36.54868635757433,3.5484537949777555,228,44,0.5133333331,0.9999999999999908
sgRNA_54,60.37710805,15.8642015514119,28.68271345392184,8.191604206552224,68,9,0.573913043099379,0.9996598662686834
sgRNA_122,12.40030384,35.45170136769373,41.22918295827272,3.202132421347532,28,4,0.6753246754043292,0.9963788283450834
sgRNA_99,27.40170486,29.12303718537846,34.921679799937,3.925254731172216,215,44,0.666666667,0.999999999999694
sgRNA_139,2.868082476,36.62907403836599,38.4759155470655,1.6279279867060938,145,22,0.618925831567775,0.9999977672505134
sgRNA_25,75.54410053,37.97097097084456,40.55618872155173,1.4746774755470535,87,14,0.4588235293678991,0.9999517882815456
sgRNA_82,46.90551015,29.38667336642793,37.73414905799029,5.5742365635429225,46,6,0.4681547621699405,0.9887323751340296
sgRNA_110,18.98903618,21.88657788499102,26.338364049961804,2.8792568512574777,49,4,0.4800191815602222,0.9906871459023592
sgRNA_145,0.264034599,19.222381987330493,35.390304914002606,10.75373863218702,6395,630,0.933333333,1.0
sgRNA_51,64.10457782,14.935870272819852,28.688701030575924,7.638602675022696,41,6,0.4235294118,0.9901160137355726
sgRNA_142,0.878795861,19.22681464931993,34.09977747437453,8.629075935135148,238,51,0.5357142854553572,0.9999999999999908
sgRNA_37,72.33921457,31.13489970527406,36.4386839522455,5.736506381609891,61,8,0.5133689839893048,0.9990212881035664
sgRNA_21,76.49038874,28.61283629405765,32.31943677187793,3.7306624567005735,36,3,0.3230769234,0.938452551317737
sgRNA_70,49.59139542,33.52032001872848,37.48344569857768,3.19531112797424,939,335,0.6737967910010696,1.0
sgRNA_94,34.31708991,21.833306207597165,30.245138486049736,4.778616212492216,113,21,0.7058823532499999,0.999999166944727
sgRNA_29,73.97313709,34.54107926859941,35.81200309198673,0.8340924420090655,153,11,0.4791481809249013,0.9999946851254315
sgRNA_68,50.84945089,25.309354072453097,27.4880951288172,1.8394089912563567,98,23,0.5294117646617648,0.9999992512475252
sgRNA_60,56.92098417,34.57861872622188,35.49406895661023,1.4729416155859807,141,26,0.611764705997199,0.9999999989445114
sgRNA_66,51.3335178,30.44272551640497,37.15231218865988,6.96362860806293,59,4,0.3461538457186813,0.9477381995702612
sgRNA_30,73.80778158,23.00015276661433,32.78893163017874,9.976999734252702,539,47,0.6999999997499999,1.0
sgRNA_127,10.98679006,12.570161928228837,14.281821498940326,1.5288319893843765,1263,140,0.692307692,1.0
sgRNA_58,58.13602696,21.95469942357272,36.82208602219164,9.04257210748053,32,0,0.1303258146796992,0.5244068176659816
sgRNA_2,88.59146225,28.07157764817289,37.74772283433361,6.336857719020389,160,30,0.5365079366730159,0.9999999989361276
sgRNA_47,66.11489488,22.71172595332808,34.31114517096004,6.548919387116129,290,46,0.7269230766028847,0.9999999999999992
sgRNA_79,47.84703546,22.280260712338823,27.189251436418093,3.6994937601442746,95,27,0.692307692,0.999999997957615
sgRNA_147,0.185185185,24.218324349239445,36.69622820169512,7.446471426552057,412,37,0.7944996186638656,1.0
sgRNA_126,11.66567968,35.9021476842136,38.11173599609243,2.607170359436814,125,11,0.5249999999999999,0.9999971167525272
sgRNA_77,48.14618781,34.826610138860474,39.696419876113175,4.074783375551645,199,15,0.6438095241974604,0.9999999894998376
sgRNA_86,41.53722863,31.816432521928,35.81731020784699,5.378976034542496,160,20,0.65000000025,0.9999999962007476
sgRNA_134,7.130583099,33.00999828975567,37.02893997970269,3.1743124309735555,14,3,0.5147058825073528,0.8779954447453855
