sgRNA,Indel_Rate,Mean_Scaffold_RMSD,Max_Scaffold_RMSD,Ensemble_RMSD_Fluctuation
sgRNA_58,58.13602696,21.954699423572716,36.82208602219164,9.04257210748053
sgRNA_2,88.59146225,28.071577648172894,37.74772283433361,6.336857719020389
sgRNA_47,66.11489488,22.711725953328077,34.31114517096004,6.548919387116129
sgRNA_79,47.84703546,22.280260712338823,27.189251436418093,3.6994937601442746
sgRNA_147,0.185185185,24.218324349239445,36.69622820169512,7.446471426552057
sgRNA_126,11.66567968,35.9021476842136,38.11173599609243,2.607170359436814
sgRNA_77,48.14618781,34.826610138860474,39.696419876113175,4.074783375551645
sgRNA_86,41.53722863,31.816432521927997,35.81731020784699,5.378976034542496
sgRNA_134,7.130583099,33.00999828975567,37.02893997970269,3.1743124309735555
sgRNA_53,61.14315712,21.53834471807083,37.74151780865591,9.449199828187652
sgRNA_12,78.71983702,34.42122860142577,36.82862616688159,2.3505093169673974
sgRNA_1,90.15854518,16.09992523091952,22.52175776862926,8.271345521634561
sgRNA_26,75.40940845,20.534716493354768,36.35117374495015,8.324221316701722
sgRNA_131,7.731481481,36.41424152020612,39.50724255683179,3.957065280732102
sgRNA_140,2.04848071,15.10751366589803,21.82259082359606,5.480979199205007
sgRNA_149,-0.065503846,29.32670915397364,37.6977350974904,4.746704695376281
sgRNA_3,83.12284718,20.516543514347404,35.72106042168572,9.930508599493852
sgRNA_50,64.32555781,35.60006485930494,38.748691687762026,2.0088282874764123
sgRNA_38,72.2525497,29.924642911789828,34.8377487645169,4.69075224140877
sgRNA_133,7.600434311,32.22574238974965,41.05720366132192,5.491683017236882
sgRNA_75,48.50441289,29.522667782285403,36.39485871686349,5.767411683116753
sgRNA_62,56.1039165,21.27671923744433,37.0879947642963,10.460880658148035
sgRNA_49,64.74593023,25.21881827489285,39.55184573244266,9.919492714730014
sgRNA_33,73.23562306,35.69586074192131,37.98954155256571,1.6177875566210789
sgRNA_32,73.7757732,23.76657550228153,33.55236897902159,6.3208304707280405
sgRNA_20,76.57155979,19.755783098757053,24.37838792544673,3.5072082264902877
sgRNA_92,38.55854169,35.93277155314853,37.69099676502047,1.60475281714824
sgRNA_17,77.54633796,16.82502517782955,26.27136865827589,5.609143731982541
sgRNA_64,55.19753658,25.22862284505965,36.92610429960597,9.750860682043625
sgRNA_123,12.37210902,33.75325853977901,35.09749202312725,0.7574547139972521
sgRNA_114,15.93816879,31.216373128691828,35.508278506521066,2.221951658527752
sgRNA_132,7.670182167,35.31649972166291,38.85104455794493,3.2232869352922258
sgRNA_14,78.453126,36.21856763598454,38.66277927767062,2.4705921459159312
sgRNA_89,39.68850853,19.80400766020785,28.459306671607823,4.573450604606866
sgRNA_52,63.16688033,36.18517487044933,39.14610294857649,2.899273203971942
sgRNA_61,56.71938363,34.9009938507379,41.67592040670798,5.731210581789032
sgRNA_144,0.611309221,27.15375708595023,34.23185267400819,6.449698707709383
sgRNA_91,39.62747773,22.644706220258666,33.37275605248194,12.070928230691417
sgRNA_137,5.53731902,34.53213864994814,40.5043119445067,3.8905178900384234
sgRNA_148,0.062201949,36.31632506260578,38.48482608189875,2.169081774241014
sgRNA_109,19.01148083,20.821450851567484,35.68414160158045,7.876040782971428
sgRNA_119,13.27080284,34.41912305132065,36.45363761400404,2.270413045532313
sgRNA_73,49.19960498,36.14500929654896,37.53067110640407,1.1455185877767575
